,DIA,EEM,QQQ,SPY,VXX
2019-01-02 09:31:00,0.4000000000000057,0.020000000000003126,0.30000000000001137,0.22999999999998977,-0.054999999999999716
2019-01-02 09:32:00,-0.20000000000001705,0.01999999999999602,0.07999999999998408,-0.020000000000010232,-0.15500000000000114
2019-01-02 09:33:00,-0.09999999999999432,0.0,0.0,-0.06999999999999318,0.11999999999999744
2019-01-02 09:34:00,0.010000000000019327,0.020000000000003126,0.0800000000000125,0.0,0.09000000000000341
2019-01-02 09:35:00,-0.040000000000020464,0.0,-0.12000000000000455,-0.12000000000000455,0.1599999999999966
2019-01-02 09:36:00,0.05000000000001137,0.030000000000001137,0.2599999999999909,0.09000000000000341,-0.1699999999999946
2019-01-02 09:37:00,0.1699999999999875,0.02999999999999403,0.040000000000020464,0.2599999999999909,-0.14000000000000057
2019-01-02 09:38:00,-0.009999999999990905,0.0,0.0,0.0,0.0049999999999954525
2019-01-02 09:39:00,0.21999999999999886,0.020000000000003126,-0.1599999999999966,0.0,-0.015000000000000568
2019-01-02 09:40:00,-0.30000000000001137,-0.030000000000001137,-0.18000000000000682,-0.1799999999999784,0.07000000000000028
2019-01-02 09:41:00,0.12000000000000455,0.0,0.060000000000002274,0.12999999999999545,-0.07000000000000028
2019-01-02 09:42:00,0.18000000000000682,0.030000000000001137,0.18999999999999773,0.12000000000000455,-0.10999999999999943
2019-01-02 09:43:00,0.05000000000001137,0.00999999999999801,0.04999999999998295,0.04999999999998295,-0.03999999999999915
2019-01-02 09:44:00,0.11999999999997613,-0.01999999999999602,-0.05999999999997385,0.0800000000000125,0.08500000000000085
2019-01-02 09:45:00,0.19000000000002615,0.00999999999999801,0.2799999999999727,0.2699999999999818,-0.125
2019-01-02 09:46:00,-0.0800000000000125,0.0,-0.01999999999998181,-0.01999999999998181,0.03999999999999915
2019-01-02 09:47:00,0.3100000000000023,0.00999999999999801,0.06999999999999318,0.13999999999998636,-0.030000000000001137
2019-01-02 09:48:00,-0.11000000000001364,0.0,0.009999999999990905,-0.07999999999998408,-0.0899999999999963
2019-01-02 09:49:00,0.010000000000019327,0.0,-0.009999999999990905,-0.09000000000000341,0.01999999999999602
2019-01-02 09:50:00,0.19999999999998863,0.010000000000005116,0.09000000000000341,0.1599999999999966,-0.00999999999999801
2019-01-02 09:51:00,0.09999999999999432,-0.010000000000005116,0.0,0.09000000000000341,0.10999999999999943
2019-01-02 09:52:00,-0.20999999999997954,-0.00999999999999801,-0.12000000000000455,-0.18999999999999773,0.020000000000003126
2019-01-02 09:53:00,-0.160000000000025,-0.030000000000001137,-0.060000000000002274,-0.21999999999999886,0.0
2019-01-02 09:54:00,-0.07999999999998408,0.020000000000003126,0.06999999999999318,-0.040000000000020464,-0.020000000000003126
2019-01-02 09:55:00,0.15000000000000568,0.01999999999999602,0.0800000000000125,0.14000000000001478,-0.10000000000000142
2019-01-02 09:56:00,0.18999999999999773,0.020000000000003126,0.1599999999999966,0.1699999999999875,-0.06499999999999773
2019-01-02 09:57:00,-0.020000000000010232,0.0,0.020000000000010232,0.0,-0.054999999999999716
2019-01-02 09:58:00,-0.12000000000000455,0.00999999999999801,-0.06999999999999318,-0.009999999999990905,0.03999999999999915
2019-01-02 09:59:00,-0.03999999999999204,-0.01999999999999602,-0.09000000000000341,-0.060000000000002274,0.030000000000001137
2019-01-02 10:00:00,-0.09000000000000341,0.0,-0.030000000000001137,0.0,0.060000000000002274
2019-01-02 10:01:00,-0.1699999999999875,-0.030000000000001137,-0.25,-0.28999999999999204,0.10000000000000142
2019-01-02 10:02:00,0.009999999999990905,0.01999999999999602,-0.030000000000001137,0.060000000000002274,-0.035000000000003695
2019-01-02 10:03:00,-0.009999999999990905,0.010000000000005116,0.04999999999998295,0.030000000000001137,-0.07500000000000284
2019-01-02 10:04:00,0.12000000000000455,0.01999999999999602,0.20000000000001705,0.22999999999998977,0.010000000000005116
2019-01-02 10:05:00,0.549999999999983,0.03999999999999915,0.46999999999999886,0.539999999999992,-0.10000000000000142
2019-01-02 10:06:00,0.12000000000000455,0.010000000000005116,0.01999999999998181,0.05000000000001137,-0.1700000000000017
2019-01-02 10:07:00,0.009999999999990905,0.01999999999999602,0.05000000000001137,-0.030000000000001137,0.00999999999999801
2019-01-02 10:08:00,0.09999999999999432,0.0,0.060000000000002274,0.12000000000000455,-0.02999999999999403
2019-01-02 10:09:00,0.5,0.030000000000001137,0.3400000000000034,0.549999999999983,-0.04000000000000625
2019-01-02 10:10:00,0.12000000000000455,0.00999999999999801,0.03999999999999204,0.040000000000020464,-0.10999999999999943
2019-01-02 10:11:00,-0.060000000000002274,-0.01999999999999602,-0.060000000000002274,-0.10500000000001819,-0.00999999999999801
2019-01-02 10:12:00,0.09000000000000341,0.02999999999999403,0.03999999999999204,0.09499999999999886,-0.01999999999999602
2019-01-02 10:13:00,0.09999999999999432,0.010000000000005116,0.05000000000001137,0.12000000000000455,-0.060000000000002274
2019-01-02 10:14:00,-0.12999999999999545,-0.020000000000003126,-0.05000000000001137,-0.12999999999999545,0.060000000000002274
2019-01-02 10:15:00,0.020000000000010232,0.020000000000003126,0.15000000000000568,0.11000000000001364,0.00999999999999801
2019-01-02 10:16:00,-0.2400000000000091,-0.020000000000003126,-0.10999999999998522,-0.28000000000000114,0.030000000000001137
2019-01-02 10:17:00,-0.04999999999998295,0.0,-0.09999999999999432,-0.05000000000001137,0.05999999999999517
2019-01-02 10:18:00,0.09999999999999432,0.0,0.01999999999998181,0.0800000000000125,0.0
